case_id,full_name,first_name,last_name,gender,ssn,dob,dod,address_street,address_city,address_state,address_zip,height,weight,eye_color
1,Anthony King,Anthony,King,M,828-27-6160,10/17/1984,10/18/2024,356 Valley Way,Torrance,CA,90501,,,
2,Anthony Moore,Anthony,Moore,M,856-88-6347,10/28/1972,2/10/2026,8981 Mountain Rd,Los Angeles,CA,90012,,,
3,Daniel Martin,Daniel,Martin,M,134-63-7682,9/7/1945,9/18/2024,2566 Park Pl,Los Angeles,CA,90017,,,
4,David Lee,David,Lee,M,655-27-8368,12/23/1956,6/10/2026,4032 Mountain Rd, El Monte,CA,91731,,,
5,Donna Rodriguez,Donna,Rodriguez,F,308-77-1833,11/24/1975,11/12/2025,4391 River Rd, Pomona,CA,91766,,,
6,Dorothy Lee,Dorothy,Lee,F,886-40-2781,1/17/1985,1/11/2026,5419 Washington Blvd,Los Angeles,CA,90013,,,
7,Elizabeth Walker,Elizabeth,Walker,F,167-83-3049,9/17/1974,5/11/2026,6413 Lincoln Ave, Pomona,CA,91766,,,
8,George Scott,George,Scott,M,178-60-2401,8/14/1986,8/19/2024,6170 Pine Rd, Pomona,CA,91766,,,
9,James Allen,James,Allen,M,102-70-1437,3/22/1971,11/12/2025,1690 Harbor View, Glendale,CA,91201,,,
10,Jennifer Thompson,Jennifer,Thompson,F,501-62-9628,12/23/1959,4/11/2026,8410 Sunset Blvd,Los Angeles,CA,90001,,,
11,Jessica Taylor,Jessica,Taylor,F,263-64-2023,6/19/1946,5/11/2026,2645 Lincoln Ave, Pomona,CA,91766,,,
12,Kenneth Jones,Kenneth,Jones,M,802-32-1377,1/8/1948,2/15/2025,3839 Lincoln Ave,Los Angeles,CA,90210,,,
13,Margaret Wilson,Margaret,Wilson,F,693-50-8698,10/8/1935,8/19/2024,2799 Harbor View,Los Angeles,CA,90017,,,
14,Matthew Lewis,Matthew,Lewis,M,741-28-3931,6/3/1967,2/10/2026,6565 Lincoln Ave, Downey,CA,90241,,,
15,Nancy Wilson,Nancy,Wilson,F,195-49-4430,3/22/1943,9/13/2025,7309 Valley Way, Glendale,CA,91201,,,
16,Patricia Martin,Patricia,Martin,F,813-84-5160,11/18/1973,12/12/2025,9831 Park Pl, Torrance,CA,90501,,,
17,Robert Anderson,Robert,Anderson,M,570-34-5483,11/8/1944,11/17/2024,6534 Elm St, Pasadena,CA,91101,,,
18,Sandra Wilson,Sandra,Wilson,F,185-54-5819,2/6/1935,5/16/2025,9890 Lake Dr, El Monte,CA,91731,,,
19,Sarah Sanchez,Sarah,Sanchez,F,676-66-7702,6/16/1966,7/10/2026,8529 Lincoln Ave,Los Angeles,CA,90401,,,
20,William Williams,William,Williams,M,801-44-4310,8/2/1986,3/12/2026,1581 Park Pl,Los Angeles,CA,90015,,,
