case_id,full_name,first_name,last_name,gender,ssn,dob,dod,address_street,address_city,address_state,address_zip,height,weight,eye_color
1,Anthony King,Anthony,King,M,,10/17/1984,10/18/2024,,Torrance,CA,90501,,,
2,Anthony Moore,Anthony,Moore,M,856-88-6347,,,,,CA,90012,,,
3,Daniel Martin,Daniel,Martin,M,134-63-7682,,,,,CA,90017,,,
4,David Lee,David,Lee,M,655-27-8368,,,,El Monte,CA,91731,,,
5,Donna Rodriguez,Donna,Rodriguez,F,308-77-1833,,,,Pomona,CA,91766,,,
6,Dorothy Lee,Dorothy,Lee,F,886-40-2781,01/17/1985,01/11/2026,,,CA,90013,,,
7,Elizabeth Walker,Elizabeth,Walker,F,,05/11/2026,,,Pomona,CA,91766,,,
8,George Scott,George,Scott,M,178-60-2401,,,,Pomona,CA,91766,,,
9,James Allen,James,Allen,M,102-70-1437,,,,Glendale,CA,91201,,,
10,Jennifer thompson,Jennifer,thompson,F,501-62-9628,12/23/1959,04/11/2026,,,CA,90001,,,
11,Jessica Taylor,Jessica,Taylor,F,263-64-2023,,,,Pomona,CA,91766,,,
12,Kenneth ,Kenneth,,M,802-32-1377,01/08/1948,02/15/2025,,,CA,90210,,,
13,Margaret Wilson,Margaret,Wilson,F,,10/08/1935,08/19/2024,,,CA,90017,,,
14,Matthew Lewis,Matthew,Lewis,M,741-28-3931,06/03/1967,02/10/2026,,Downey,CA,90241,,,
15,Nancy Wilson,Nancy,Wilson,F,,,,,Glendale,CA,91201,,,
16,Patricia Martin,Patricia,Martin,F,813-84-5160,,,,Torrance,CA,90501,,,
17,Robert Anderson,Robert,Anderson,M,,11/08/1944,11/17/2024,,Pasadena,CA,91101,,,
18,Sandra Wilson,Sandra,Wilson,F,,,,,El Monte,CA,91731,,,
19,Sarah Sanchez,Sarah,Sanchez,F,,,,,,CA,90401,,,
20,William Williams,William,Williams,M,,,,,,CA,90015,,,
