case_id,full_name,first_name,last_name,gender,ssn,dob,dod,address_street,address_city,address_state,address_zip,height,weight,eye_color
1,1 26,1,26,-,26-26-26,,10/18/2024,,Torrance,CA,90501,,,
2,1 26,1,26,-,26-26-26,02/10/2026,10/28/1972,,,CA,90012,,,
3,1 26,1,26,-,26-26-26,09/18/2024,09/07/1945,,,CA,90017,,,
4,1 26,1,26,-,26-26-26,06/10/2026,12/23/1956,,El Monte,CA,91731,,,
5,Rodrigue z 11 24 197 5,Rodrigue z,11 24 197 5,Donna,1-26-26,11/12/2025,11/24/1975,,Pomona,CA,91766,,,
6,1 26,1,26,-,26-26-26,,01/11/2026,,,CA,90013,,,
7,1 26,1,26,-,26-26-26,,09/17/1974,,Pomona,CA,91766,,,
8,1 26,1,26,-,26-26-26,08/19/2024,08/14/1986,,Pomona,CA,91766,,,
9,1 26,1,26,-,26-26-26,11/12/2025,03/22/1971,,Glendale,CA,91201,,,
10,1 26,1,26,-,26-26-26,,04/11/2026,,,CA,90001,,,
11,1 26,1,26,-,26-26-26,05/11/2026,06/19/1946,,Pomona,CA,91766,,,
12,- 1,-,1,Kenneth,26-26-26,,02/15/2025,,,CA,90210,,,
13,1 26,1,26,-,26-26-26,,08/19/2024,,,CA,90017,,,
14,1 26,1,26,-,26-26-26,,02/10/2026,,Downey,CA,90241,,,
15,1 26,1,26,-,26-26-26,09/13/2025,03/22/1943,,Glendale,CA,91201,,,
16,1 26,1,26,-,26-26-26,12/12/2025,11/18/1973,,Torrance,CA,90501,,,
17,1 26,1,26,-,26-26-26,,11/17/2024,,Pasadena,CA,91101,,,
18,Sandra Wilson,Sandra,Wilson,F,185-54-5819,02/06/1935,05/16/2025,,El Monte,CA,91731,,,
19,1 26,1,26,-,26-26-26,07/10/2026,06/16/1966,,,CA,90401,,,
20,1 26,1,26,-,26-26-26,03/12/2026,08/02/1986,,,CA,90015,,,
