type,case_id,full_name,first_name,last_name,gender,ssn,dob,dod,height,weight,eye_color,address_street,address_city,address_state,address_zip,phone,email,drivers_license,dl_state,relationship
deceased,1,Lisa Thompson,Lisa,Thompson,F,554-44-7728,1939-12-27,2025-09-14,"6'8""",152,Gray,7780 Valley Way,Los Angeles,CA,90017,,,,,
beneficiary,1,Jessica Thompson,Jessica,Thompson,F,511-38-6776,1971-05-21,,"6'5""",149,Blue,6268 Lincoln Ave,Santa Monica,CA,90401,(653) 303-7286,jessica.thompson@email.com,XB741374,CA,daughter
beneficiary,1,Paul Thompson,Paul,Thompson,M,667-45-9438,1989-01-14,,"5'7""",241,Brown,9296 Maple Dr,San Francisco,CA,94102,(389) 950-8991,paul.thompson@email.com,ZV776164,CA,brother
deceased,2,William Young,William,Young,M,572-96-4993,1959-03-10,2025-03-18,"5'3""",140,Brown,8456 Oak Ave,Glendale,CA,91201,,,,,
beneficiary,2,Emily Young,Emily,Young,F,234-49-2422,1942-12-02,,"6'0""",171,Green,3016 Harbor View,Anaheim,CA,92805,(459) 895-8720,emily.young@email.com,IV935252,CA,wife
deceased,3,Elizabeth Anderson,Elizabeth,Anderson,F,350-98-3805,1963-08-10,2025-01-17,"6'7""",220,Green,6459 Mountain Rd,El Monte,CA,91731,,,,,
beneficiary,3,Daniel Anderson,Daniel,Anderson,M,125-35-5710,1937-09-01,,"5'4""",196,Brown,433 Lake Dr,Pasadena,CA,91101,(580) 474-1743,daniel.anderson@email.com,GJ853862,CA,husband
beneficiary,3,Linda Anderson,Linda,Anderson,F,775-63-1977,1991-07-24,,"6'4""",211,Hazel,1942 Lake Dr,Bakersfield,CA,93301,(493) 210-1359,linda.anderson@email.com,YU065426,CA,sister
beneficiary,3,David Miller,David,Miller,M,318-31-1267,1953-01-26,,"5'3""",184,Green,553 Park Pl,Fremont,CA,94538,(382) 681-5014,david.miller@email.com,FX214243,CA,cousin
deceased,4,Richard Wright,Richard,Wright,M,408-99-1629,1966-02-25,2026-02-11,"6'10""",249,Green,9843 Pine Rd,Los Angeles,CA,90001,,,,,
beneficiary,4,Barbara Wright,Barbara,Wright,F,840-93-4963,1935-02-17,,"5'5""",212,Blue,1082 Elm St,Bakersfield,CA,93301,(644) 608-7051,barbara.wright@email.com,AO928241,CA,wife
beneficiary,4,Mary Wright,Mary,Wright,F,342-88-3645,1982-11-11,,"5'2""",240,Gray,3598 Oak Ave,Riverside,CA,92501,(372) 212-1609,mary.wright@email.com,PS858012,CA,sister
beneficiary,4,James Hernandez,James,Hernandez,M,332-22-7290,1967-08-21,,"5'2""",177,Hazel,9904 Valley Way,Bakersfield,CA,93301,(577) 246-3043,james.hernandez@email.com,FX212197,CA,friend
deceased,5,Jessica Davis,Jessica,Davis,F,804-88-3833,1954-09-15,2025-10-14,"5'6""",147,Hazel,8728 Lake Dr,Los Angeles,CA,90001,,,,,
beneficiary,5,Michael Davis,Michael,Davis,M,786-75-9966,1982-01-11,,"5'0""",238,Hazel,894 Lake Dr,Anaheim,CA,92805,(590) 541-8377,michael.davis@email.com,TG963410,CA,son
beneficiary,5,Carol Davis,Carol,Davis,F,424-60-6681,1960-10-15,,"5'7""",144,Blue,4681 Valley Way,Anaheim,CA,92805,(471) 438-9296,carol.davis@email.com,HY723670,CA,daughter
beneficiary,5,Dorothy Davis,Dorothy,Davis,F,127-12-4362,1987-06-04,,"5'6""",239,Brown,7426 Elm St,Bakersfield,CA,93301,(557) 419-2085,dorothy.davis@email.com,GJ800525,CA,sister
